"video_game_play","video_game_hours","play_pref","game_type_pref","num_of_purchases","income","industry","emp_type","edu_level","n_dependents","hobbies","comp","comp_int","res_impor","interaction_impor","genre","game_purchase","game_format","gender","age","region","relationship_status"
57,1,"Outdoors","Solo-Play",1,87337,"Hotel and Food Services","Student","Associate degree",0,"Television Series",64,38,21,85,"Roleplay","Both","Digital","Female",35,"Southwest","Separated"
35,10,"Indoors","Multiplayer-Play",24,31757,"Military","Homemaker","Associate degree",5,"Outdoor Recreation (Hiking,etc),Music,Television Series",85,39,43,76,"Action/Adventure,Roleplay,Simulation","Both","Physical","Female",58,"Southwest","Single"
38,9,"Outdoors","Multiplayer-Play",24,48394,"Real Estate","Employed Full Time","Associate degree",6,"Music,Outdoor Recreation (Hiking,etc),Movies",71,52,23,66,"Music & Fitness,Strategy & Puzzle,Action/Adventure","One-time payment, pre-playing","Physical","Female",57,"Northeast","Divorced"
46,12,"Indoors","Solo-Play",19,55892,"Other","Retired","Some College",6,"Music,Art,Television Series,Movies,Sports",34,49,76,45,"Simulation,Action/Adventure,Roleplay","One-time payment, pre-playing","Physical","Male",53,"Northeast","Separated"
35,2,"Indoors","Solo-Play",5,93822,"Government","Not employed, not looking","High school graduate or equivalent",0,"Outdoor Recreation (Hiking,etc),Movies,Music,Sports,Television Series,Art",4,23,11,28,"Music & Fitness,Sports & Racing,Strategy & Puzzle","Both","Digital","Male",36,"Southwest","Divorced"
51,6,"Outdoors","Solo-Play",12,61334,"Education","Not employed, not looking","High school graduate or equivalent",7,"Movies,Television Series",36,46,79,17,"Strategy & Puzzle,Sports & Racing","One-time payment, pre-playing","Physical","Female",62,"Southwest","Married"
35,0,"Outdoors","Multiplayer-Play",4,133278,"Information Services","Student","Trade or Vocational Degree",1,"Movies,Music,Art,Sports",7,17,10,40,"Simulation,Roleplay,Strategy & Puzzle","In-game purchases","Physical","Male",39,"Southeast","Separated"
52,4,"Outdoors","Multiplayer-Play",30,53932,"Utilities","Homemaker","Bachelor's degree",4,"Art",66,57,32,79,"Roleplay,Strategy & Puzzle,Music & Fitness,Sports & Racing","One-time payment, pre-playing","Physical","Female",50,"Southeast","Single"
57,2,"Indoors","Multiplayer-Play",12,74234,"Telecommunications","Not employed, not looking","Trade or Vocational Degree",3,"Movies,Sports,Music",57,55,24,60,"Action/Adventure","Both","Physical","Female",56,"Northeast","Single"
67,3,"Indoors","Multiplayer-Play",4,107645,"Mining","Retired","Some High School",5,"Movies,Sports",87,57,58,66,"Roleplay,Music & Fitness,Action/Adventure,Strategy & Puzzle,Sports & Racing","One-time payment, pre-playing","Digital","Male",40,"Southeast","In a relationship"
